test/matrices/4096x4096_d30.mtx,4096,4096,5033165,0,0,0,0,0,4096,0,0,0,5033165,5282816,0,0,0,0.049601,256,31770948,25.589000,0.051574,195.182262,0.051174,196.707899,620.841599,817.389417,30231762,4.734000,0.092986,108.256404,325.121653,433.289958
test/matrices/4096x4096_d50.mtx,4096,4096,8388608,0,0,0,0,0,4096,0,0,0,8388608,8908800,0,0,0,0.062012,256,53555180,42.493000,0.083271,201.477297,0.082769,202.699271,647.043942,849.644239,50364420,4.784000,0.214774,78.115675,234.499614,312.577146
test/matrices/4096x4096_d70.mtx,4096,4096,11744051,0,0,0,0,0,4096,0,0,0,11744051,12535808,0,0,0,0.067418,256,75345564,60.019000,0.115147,203.983621,0.114490,205.154179,658.097336,863.179963,70497078,4.849000,0.408053,57.561400,172.764513,230.305838
test/matrices/4096x11008_d30.mtx,4096,11008,13526630,0,0,0,0,0,4096,0,0,0,13526630,13929472,0,0,0,0.029781,256,83732260,68.002000,0.127850,211.601564,0.127031,212.965811,659.148239,871.940739,81206376,4.840000,0.540734,50.030625,150.178047,200.167957
test/matrices/4096x11008_d50.mtx,4096,11008,22544384,0,0,0,0,0,4096,0,0,0,22544384,23068672,0,0,0,0.023256,256,138638860,112.099000,0.209350,215.375056,0.207571,217.220941,667.910546,885.025423,135312900,4.822000,2.071170,21.769709,65.331624,87.090703
test/matrices/4096x11008_d70.mtx,4096,11008,31562138,0,0,0,0,0,4096,0,0,0,31562138,32186368,0,0,0,0.019778,256,193416268,151.830000,0.290411,217.361863,0.288287,218.963311,670.915678,889.802620,189419424,4.780000,4.206637,15.005877,45.028707,60.029350
test/matrices/5120x5120_d30.mtx,5120,5120,7864320,0,0,0,0,0,5120,0,0,0,7864320,8507392,0,0,0,0.081771,256,51151788,40.171000,0.079952,196.726036,0.079510,197.819645,643.337794,841.028650,47226884,4.903000,0.167478,93.914663,281.988584,375.842105
test/matrices/5120x5120_d50.mtx,5120,5120,13107200,0,0,0,0,0,5120,0,0,0,13107200,13758464,0,0,0,0.049688,256,82699244,65.360000,0.126227,207.676646,0.125459,208.947943,659.173467,868.039790,78684164,4.832000,0.400909,65.387407,196.264399,261.626264
test/matrices/5120x5120_d70.mtx,5120,5120,18350080,0,0,0,0,0,5120,0,0,0,18350080,18994176,0,0,0,0.035100,256,114154420,90.834000,0.172722,212.481097,0.171741,213.694808,664.689387,878.324570,110141444,4.842000,0.796341,46.085986,138.309398,184.382525
test/matrices/4096x4096_d30.mtx,4096,4096,5033165,0,0,0,0,0,4096,0,0,0,5033165,5282816,0,0,0,0.049601,256,31770948,26.038000,0.051542,195.303442,0.051121,196.911837,621.485260,818.236850,30231762,4.740000,0.093061,108.169158,324.859630,432.940759
